Reference   	#	Loc.	Lat.	Long.	d13C	Temp	[CO2]aqu.	ep	Log(CO2aq)
								x	
Fisher, 1989,  Indomed -leg 12	108	P	2	21	-21.7	26.0	9.2	14.4	0.96
Degens et al, 1968, DSR 15: 11-20	354	P	2	92	-20.4	25.8	9.3	13.1	0.97
Degens et al, 1968, DSR 15: 11-20	353	P	1	92	-19.7	25.7	9.3	12.4	0.97
Fisher, 1989,  Indomed -leg 12	109	P	1	19	-21.6	25.2	9.4	14.3	0.97
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	320	P	27	68	-19.9	24.8	9.5	12.5	0.98
Sackett et al., 1965, Science	7	N	26	68	-19.9	24.8	9.5	12.5	0.98
Sackett et al., 1965, Science	6	N	27	68	-23.2	23.4	9.8	15.6	0.99
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	319	P	27	68	-23.2	23.4	9.8	15.6	0.99
Degens et al, 1968, DSR 15: 11-20	352	P	0	92	-20.2	20.6	10.6	12.3	1.03
Harrison, JGOFS	286	N	40	47	-19.4	14.5	12.7	10.8	1.10
Harrison, JGOFS	287	N	40	47	-19.9	14.5	12.7	11.3	1.10
Harrison, JGOFS	284	N	40	47	-20.2	14.4	12.7	11.6	1.10
Harrison, JGOFS	285	N	40	47	-19.6	14.4	12.7	11.0	1.10
Harrison, JGOFS	288	N	40	47	-19.6	14.4	12.7	11.0	1.10
Harrison, JGOFS	283	N	41	47	-19.6	14.3	12.8	11.0	1.11
Harrison, JGOFS	289	N	42	41	-19.4	13.2	13.2	10.6	1.12
Maren Voß. 1991, Ph.D. Thesis, Kiel University	272	N	67	7	-25.3	13.0	13.3	16.6	1.12
Fontugne and Duplessy, 1981, Oceanol. Acta	267	P	60	-17	-21.1	12.7	13.4	12.3	1.13
Fontugne and Duplessy, 1981, Oceanol. Acta	266	P	59	-15	-19.2	12.7	13.4	10.4	1.13
Fontugne and Duplessy, 1981, Oceanol. Acta	265	P	58	-14	-24.1	12.7	13.4	15.3	1.13
Fontugne and Duplessy, 1981, Oceanol. Acta	268	P	61	-18	-22.4	12.6	13.5	13.5	1.13
Fontugne and Duplessy, 1981, Oceanol. Acta	269	P	62	-20	-23.2	12.5	13.5	14.3	1.13
Maren Voß. 1991, Ph.D. Thesis, Kiel University	271	N	67	6	-25.4	12.4	13.6	16.6	1.13
Fontugne and Duplessy, 1981, Oceanol. Acta	270	P	62	-21	-21.7	11.6	13.9	12.7	1.14
Fontugne and Duplessy, 1981, Oceanol. Acta	257	P	52	-36	-23.0	11.5	14.0	14.0	1.14
Fontugne and Duplessy, 1981, Oceanol. Acta	256	P	52	-35	-24.2	11.1	14.1	15.1	1.15
Fontugne and Duplessy, 1981, Oceanol. Acta	264	P	61	-9	-23.4	10.9	14.2	14.4	1.15
Fontugne and Duplessy, 1981, Oceanol. Acta	261	P	62	-24	-22.9	10.8	14.3	13.9	1.15
Harrison, JGOFS	290	N	45	41	-20.5	10.8	14.3	11.5	1.15
Fontugne and Duplessy, 1981, Oceanol. Acta	260	P	60	-26	-23.4	10.6	14.4	14.4	1.16
Fontugne and Duplessy, 1981, Oceanol. Acta	258	P	57	-29	-23.1	10.2	14.6	14.0	1.16
Fontugne and Duplessy, 1981, Oceanol. Acta	259	P	59	-28	-24.2	9.8	14.8	15.0	1.17
Maren Voß. 1991, Ph.D. Thesis, Kiel University	273	N	70	0	-25.7	9.7	14.8	16.6	1.17
Fontugne and Duplessy, 1981, Oceanol. Acta	263	P	64	-8	-25.6	7.7	15.8	16.2	1.20
Maren Voß. 1991, Ph.D. Thesis, Kiel University	276	N	70	0	-24.2	7.1	16.2	14.7	1.21
Maren Voß. 1991, Ph.D. Thesis, Kiel University	282	N	70	0	-27.1	6.2	16.7	17.5	1.22
Schell, person. comm.	313	P	63	175	-24.1	6.2	16.7	14.5	1.22
Fontugne and Duplessy, 1981, Oceanol. Acta	262	P	66	-10	-27.1	6.0	16.8	17.5	1.22
Maren Voß. 1991, Ph.D. Thesis, Kiel University	274	N	72	10	-26.3	3.8	18.2	16.4	1.26
Schell, person. comm.	305	P	67	171	-20.5	3.6	18.3	10.6	1.26
Schell, person. comm.	309	P	68	169	-18.7	3.5	18.4	8.8	1.26
Schell, person. comm.	306	P	63	179	-19.0	3.1	18.7	9.0	1.27
Schell, person. comm.	311	P	68	173	-21.9	2.7	18.9	11.9	1.28
Schell, person. comm.	310	P	67	173	-22.5	2.6	19.0	12.5	1.28
Schell, person. comm.	308	P	66	170	-20.0	2.4	19.2	9.9	1.28
Schell, person. comm.	312	P	66	170	-25.0	2.4	19.2	14.9	1.28
Maren Voß. 1991, Ph.D. Thesis, Kiel University	280	N	72	-7	-21.9	2.4	19.2	11.9	1.28
Maren Voß. 1991, Ph.D. Thesis, Kiel University	279	N	72	-8	-23.0	2.0	19.4	12.9	1.29
Maren Voß. 1991, Ph.D. Thesis, Kiel University	278	N	72	-8	-22.3	1.6	19.7	12.2	1.30
Schell, person. comm.	299	P	1000	1000	-19.9	1.0	20.2	9.7	1.31
Schell, person. comm.	297	P	58	171	-20.3	1.0	20.2	10.1	1.31
Schell, person. comm.	304	P	73	162	-25.3	0.8	20.4	15.0	1.31
Schell, person. comm.	298	P	58	173	-19.0	0.7	20.4	8.7	1.31
Schell, person. comm.	307	P	68	173	-21.7	0.6	20.5	11.4	1.31
Hobson, Resulte Bay, pers. comm.	291	P	1000	1000	-24.1	0.5	20.6	13.8	1.31
Hobson, Resulte Bay, pers. comm.	292	P	1000	1000	-24.4	0.5	20.6	14.1	1.31
Schell, person. comm.	300	P	58	172	-19.5	0.2	20.8	9.1	1.32
Maren Voß. 1991, Ph.D. Thesis, Kiel University	275	N	73	-6	-25.3	0.2	20.9	15.0	1.32
Hobson, Resulte Bay, pers. comm.	293	P	1000	1000	-22.9	-0.5	21.4	12.5	1.33
Hobson, Resulte Bay, pers. comm.	294	P	1000	1000	-23.6	-0.5	21.4	13.2	1.33
Hobson, Resulte Bay, pers. comm.	295	P	1000	1000	-22.7	-0.5	21.4	12.3	1.33
Maren Voß. 1991, Ph.D. Thesis, Kiel University	281	N	72	-1	-25.7	-0.7	21.6	15.2	1.33
Schell, person. comm.	303	P	57	171	-20.5	-1.2	22.0	10.0	1.34
Schell, person. comm.	296	P	59	171	-20.3	-1.5	22.3	9.8	1.35
Schell, person. comm.	302	P	1000	1000	-20.4	-1.6	22.4	9.8	1.35
Schell, person. comm.	301	P	59	171	-20.7	-1.6	22.4	10.1	1.35
Fontugne and Duplessy, 1978, EPSL	46	P	0	-73	-20.0	31.6	8.1	13.3	0.91
Fontugne and Duplessy, 1978, EPSL	45	P	-4	-73	-20.3	31.4	8.1	13.6	0.91
Fontugne and Duplessy, 1978, EPSL	44	P	-7	-73	-19.9	30.1	8.3	13.1	0.92
Fontugne and Duplessy, 1981, Oceanol. Acta	213	P	-1	-89	-19.4	29.6	8.4	12.5	0.93
Fontugne and Duplessy, 1978, EPSL	43	P	-10	-74	-20.7	29.6	8.4	13.8	0.93
Fontugne and Duplessy, 1981, Oceanol. Acta	214	P	0	-89	-19.7	29.5	8.5	12.7	0.93
Fontugne and Duplessy, 1981, Oceanol. Acta	212	P	-4	-90	-19.4	29.4	8.5	12.5	0.93
Fontugne and Duplessy, 1981, Oceanol. Acta	210	P	-6	-89	-20.5	29.4	8.5	13.6	0.93
Fontugne and Duplessy, 1978, EPSL	42	P	-12	-76	-20.7	29.2	8.5	13.8	0.93
Fontugne and Duplessy, 1981, Oceanol. Acta	211	P	-6	-89	-20.4	29.2	8.5	13.5	0.93
Fontugne and Duplessy, 1981, Oceanol. Acta	209	P	-8	-89	-20.1	28.9	8.6	13.2	0.93
Fontugne and Duplessy, 1981, Oceanol. Acta	208	P	-9	-88	-20.5	28.3	8.7	13.4	0.94
Fontugne and Duplessy, 1981, Oceanol. Acta	207	P	-10	-88	-20.0	28.3	8.7	12.9	0.94
Fontugne and Duplessy, 1978, EPSL	41	P	-16	-76	-20.4	28.1	8.8	13.3	0.94
Fontugne and Duplessy, 1981, Oceanol. Acta	206	P	-11	-88	-19.9	28.0	8.8	12.8	0.94
Fontugne and Duplessy, 1981, Oceanol. Acta	202	P	-14	-86	-19.2	28.0	8.8	12.1	0.94
Fontugne and Duplessy, 1981, Oceanol. Acta	203	P	-13	-87	-19.5	27.9	8.8	12.4	0.94
Fontugne and Duplessy, 1981, Oceanol. Acta	196	P	-16	-74	-19.1	27.7	8.8	12.0	0.95
Fontugne and Duplessy, 1981, Oceanol. Acta	205	P	-12	-88	-19.5	27.7	8.8	12.3	0.95
Fontugne and Duplessy, 1981, Oceanol. Acta	199	P	-15	-85	-19.7	27.6	8.8	12.5	0.95
Fontugne and Duplessy, 1981, Oceanol. Acta	201	P	-15	-86	-19.6	27.6	8.9	12.5	0.95
Fontugne and Duplessy, 1981, Oceanol. Acta	200	P	-15	-85	-20.1	27.6	8.9	13.0	0.95
Fontugne and Duplessy, 1981, Oceanol. Acta	193	P	-19	-61	-20.7	27.4	8.9	13.6	0.95
Fontugne and Duplessy, 1981, Oceanol. Acta	194	P	-18	-65	-20.4	27.4	8.9	13.2	0.95
Fontugne and Duplessy, 1981, Oceanol. Acta	195	P	-17	-70	-19.6	27.4	8.9	12.5	0.95
Fontugne and Duplessy, 1981, Oceanol. Acta	204	P	-13	-88	-19.8	27.3	8.9	12.7	0.95
Fontugne and Duplessy, 1981, Oceanol. Acta	197	P	-16	-76	-19.2	27.2	8.9	12.1	0.95
Fontugne and Duplessy, 1981, Oceanol. Acta	198	P	-16	-79	-19.5	26.9	9.0	12.3	0.95
Sackett et al., 1965, Science	2	P	-10	138	-21.4	26.8	9.0	14.2	0.96
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	315	P	-11	138	-21.4	26.8	9.0	14.2	0.96
Fontugne and Duplessy, 1978, EPSL	39	P	-23	-77	-19.0	26.6	9.1	11.8	0.96
Sackett et al., 1965, Science	3	P	-14	150	-24.5	26.4	9.1	17.3	0.96
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	316	P	-15	150	-24.5	26.4	9.1	17.3	0.96
Francois et al., 1993 GBC	476	I	-30	-58	-21.8	25.7	9.3	14.5	0.97
Fontugne and Duplessy, 1978, EPSL	40	P	-21	-76	-19.2	25.2	9.4	11.8	0.97
Degens et al, 1968, DSR 15: 11-20	355	P	-1	89	-20.6	25.0	9.4	13.2	0.98
Fontugne and Duplessy, 1978, EPSL	38	P	-24	-59	-19.3	24.8	9.5	11.9	0.98
Degens et al, 1968, DSR 15: 11-20	350	P	-2	88	-19.9	24.6	9.5	12.5	0.98
Fisher, 1989,  Indomed -leg 12	110	P	-4	17	-20.9	24.5	9.6	13.4	0.98
Degens et al, 1968, DSR 15: 11-20	351	P	-2	92	-19.7	24.2	9.6	12.2	0.98
Fisher, 1989,  Indomed -leg 12	111	P	-3	18	-21.5	24.2	9.6	14.0	0.98
Degens et al, 1968, DSR 15: 11-20	345	P	-8	82	-18.1	24.1	9.7	10.6	0.99
Fontugne and Duplessy, 1978, EPSL	37	P	-25	-77	-19.0	23.9	9.7	11.5	0.99
Fisher, 1989,  Indomed -leg 12	112	P	-6	15	-21.7	23.9	9.7	14.1	0.99
Fisher, 1989,  Indomed -leg 12	113	P	-9	14	-21.4	23.7	9.8	13.9	0.99
Fisher, 1989,  Indomed -leg 12	114	P	-12	14	-21.1	23.6	9.8	13.6	0.99
Francois et al., 1993 GBC	475	I	-33	-58	-21.4	23.5	9.8	13.8	0.99
Degens et al, 1968, DSR 15: 11-20	342	P	-11	79	-19.9	22.8	10.0	12.3	1.00
Fisher, 1989,  Indomed -leg 12	115	P	-15	15	-21.7	22.4	10.1	14.0	1.00
Fisher, 1989,  Indomed -leg 12	120	P	-24	20	-21.7	22.2	10.2	14.0	1.01
Fontugne and Duplessy, 1978, EPSL	36	P	-28	-78	-19.6	22.0	10.2	11.9	1.01
Degens et al, 1968, DSR 15: 11-20	356	P	-2	85	-20.1	21.9	10.2	12.3	1.01
