-5	82	-20.2	19.7	10.9	12.2	1.04
-10	79	-16.5	19.7	10.9	8.5	1.04
-29	33	-22.1	19.4	11	14.1	1.04
-30	36	-22.4	19.1	11.1	14.3	1.04
-33	45	-22.2	19	11.1	14.2	1.05
-32	43	-22.5	18.9	11.1	14.4	1.05
-7	81	-17.4	18.2	11.4	9.2	1.06
-31	-78	-21.6	18.2	11.4	13.4	1.06
-39	-60	-19.5	18.1	11.4	11.3	1.06
-40	-61	-19.3	17.9	11.5	11.1	1.06
-12	78	-21.2	17.9	11.5	13	1.06
-40	-61	-20.4	17.8	11.5	12.2	1.06
-35	-78	-21.1	16.8	11.8	12.8	1.07
-12	78	-18	16.6	11.9	9.6	1.08
-41	-62	-17.9	16.4	12	9.5	1.08
-37	-78	-20.3	16.2	12	11.9	1.08
-44	-65	-18.4	16.2	12.1	10	1.08
-12	78	-19.8	16	12.1	11.4	1.08
-34	49	-22.2	16	12.1	13.7	1.08
-44	-66	-18.5	15.7	12.2	10	1.09
-44	-65	-17.7	15.3	12.4	9.2	1.09
-42	-64	-17.6	15.2	12.4	9.1	1.09
-45	-66	-21.1	11.9	13.7	12.2	1.14
-41	56	-27.6	10.7	14.3	18.5	1.16
-42	57	-27.6	10.7	14.3	18.5	1.16
-45	-67	-22.8	10.2	14.5	13.7	1.16
-46	-67	-23.1	9.9	14.7	14	1.17
-45	-66	-22.9	9.8	14.7	13.7	1.17
-45	-66	-22.3	8.9	15.2	13	1.18
-46	-68	-23.2	7.7	15.8	13.8	1.2
-46	-67	-24.4	7.4	16	14.9	1.2
-47	-68	-24.6	6.8	16.3	15.1	1.21
-47	-51	-25.8	6.7	16.4	16.3	1.22
-48	-52	-25.8	6.3	16.6	16.2	1.22
-51	-55	-26.5	5.7	17	16.8	1.23
-51	-55	-25.4	5.6	17.1	15.7	1.23
-49	-54	-26	5.5	17.1	16.3	1.23
-51	-55	-25.3	5.5	17.1	15.6	1.23
-50	-67	-26.2	4.4	17.8	16.4	1.25
-52	-56	-25.8	4.1	18	16	1.25
-53	-58	-26.2	4	18.1	16.3	1.26
-55	-60	-25	3.2	18.6	15	1.27
-56	-61	-26.4	3	18.7	16.4	1.27
-54	-59	-26.6	3	18.7	16.6	1.27
-57	-72	-27.4	2.4	19.2	17.3	1.28
-58	-62	-28.3	2.3	19.2	18.2	1.28
-57	-68	-24.5	2.2	19.3	14.4	1.29
-57	-63	-27.9	2.1	19.4	17.8	1.29
-57	-68	-25.8	2.1	19.4	15.7	1.29
-57	-63	-26	2.1	19.4	15.9	1.29
-57	-68	-25.9	2.1	19.4	15.8	1.29
-57	-69	-26.3	2	19.4	16.2	1.29
-57	-69	-25	2	19.5	14.9	1.29
-58	-75	-25.8	1.8	19.6	15.7	1.29
-61	62	-26.9	1.8	19.6	16.8	1.29
-62	62	-26.9	1.8	19.6	16.8	1.29
-58	-77	-27.1	1.8	19.6	17	1.29
-58	-80	-26.6	1.7	19.7	16.5	1.29
-58	-80	-26.7	1.6	19.7	16.5	1.3
-57	-79	-26.1	1.6	19.8	15.9	1.3
-59	-67	-27.3	1.5	19.8	17.1	1.3
-58	-79	-25.8	1.5	19.8	15.6	1.3
-57	-79	-26	1.4	19.9	15.8	1.3
-59	-64	-28.4	1.3	20	18.2	1.3
-62	57	-31.7	0.5	20.6	21.4	1.31
-62	57	-29.1	0.5	20.6	18.8	1.31
-62	57	-29.4	0.3	20.8	19	1.32
-62	57	-25.4	0.3	20.8	15	1.32
-62	60	-32.4	0.2	20.8	22.1	1.32
-62	60	-27.3	0.2	20.8	17	1.32
-60	54	-27.9	0.1	20.9	17.6	1.32
-61	55	-27.9	0.1	20.9	17.6	1.32
-62	58	-33.4	0.1	20.9	23.1	1.32
-62	59	-34.8	0.1	20.9	24.5	1.32
-61	57	-29.6	0	21	19.2	1.32
-61	46	-32.2	-0.5	21.4	21.8	1.33
-62	40	-27.1	-0.5	21.4	16.7	1.33
-62	41	-27.1	-0.5	21.4	16.7	1.33
-60	34	-27.1	-0.6	21.5	16.7	1.33
-60	48	-32.8	-0.6	21.5	22.3	1.33
-61	35	-27.1	-0.6	21.5	16.7	1.33
-62	47	-27	-0.6	21.5	16.6	1.33
-60	28	-26.5	-0.9	21.8	16	1.34
-61	29	-26.5	-0.9	21.8	16	1.34
-62	45	-27.6	-0.9	21.8	17.2	1.34
-62	56	-28.5	-1	21.9	18	1.34
-63	44	-29.4	-1.4	22.2	18.8	1.35
-60	31	-30.4	-1.5	22.3	19.9	1.35
-61	34	-28.3	-1.5	22.3	17.8	1.35
-61	31	-30.4	-1.5	22.3	19.9	1.35
-62	35	-28.3	-1.5	22.3	17.8	1.35
-64	40	-27.9	-1.6	22.4	17.3	1.35
-64	41	-27.9	-1.6	22.4	17.3	1.35
-63	54	-25.9	-1.7	22.4	15.3	1.35
-64	44	-30.7	-1.7	22.4	20.1	1.35
-64	52	-30.6	-1.8	22.6	20	1.35
-65	52	-30.6	-1.8	22.6	20	1.35
73	-11	-23.4	-99	-99	-2.2	-99
72	155	-22.8	-99	-99	-2.8	-99
71	-150	-22.4	-99	-99	-3.2	-99
71	-150	-21.5	-99	-99	-4.1	-99
71	150	-24.6	-99	-99	-1	-99
71	142	-25.4	-99	-99	-0.2	-99
70	142	-25.8	-99	-99	0.2	-99
70	142	-26	-99	-99	0.4	-99
68	135	-26.7	-99	-99	1.1	-99
68	135	-25.1	-99	-99	-0.5	-99
66	170	-21.1	-99	-99	-4.5	-99
64	168	-20.9	-99	-99	-4.7	-99
63	-171	-21.4	-99	-99	-4.2	-99
62	-167	-18.5	-99	-99	-7.2	-99
60	-175	-20.5	-99	-99	-5.1	-99
59	-142	-21	-99	-99	-4.7	-99
55	-170	-23.3	-99	-99	-2.3	-99
55	-170	-22.9	-99	-99	-2.7	-99
47	20	-22.9	-99	-99	-2.7	-99
47	20	-21.6	-99	-99	-4	-99
47	20	-21	-99	-99	-4.7	-99
47	20	-20.5	-99	-99	-5.1	-99
47	20	-20	-99	-99	-5.6	-99
47	20	-19.2	-99	-99	-6.4	-99
47	20	-18.8	-99	-99	-6.9	-99
47	20	-18.6	-99	-99	-7	-99
47	20	-18.3	-99	-99	-7.4	-99
