"Latitude (S = -)","Longitude (W = -)","Depth (meters)","Holocene d13C","LGM d13C","Time series =1; Time slice = 2; PE = phytodetritus effect"
40.53,-10.43,3780,-999.9900,-0.0117,2
-44.15,-14.23,3783,0.2189,-1.0278,1
0.11,-23.23,3806,0.86,-0.1867,1
4.76,-43.31,3810,0.8675,0.0133,1
10.01,-56.01,3820,0.9000,-0.2000,2
1.37,-33.48,3824,0.888,0.0200,1
-36.06,-8.78,3825,0.6800,0.1500,2
9.57,-19.11,3841,0.5933,0.3188,1
29.70,-73.40,3845,-999.9900,-0.2000,2
27.01,-18.99,3849,-999.9900,0.0400,2
50.67,-19.43,3850,0.8222,0.1910,1
49.88,-24.24,3883,0.8386,0.3833,2
-2.20,5.10,3891,0.4767,-0.5850,1
4.59,-41.93,3911,0.6600,0.2100,2
-1.21,-11.96,3912,0.8933,0.2633,1
-30.84,-38.84,3934,-999.9900,-0.4300,2
36.05,-72.38,3942,0.9033,0.5333,1
52.50,-22.00,3955,0.72,0.2833,1
-29.45,11.75,3973,0.2900,-0.2000,2
30.02,-73.60,3978,1.0000,-999.9900,2
-3.82,-14.90,3984,0.92,-0.4086,1
4.87,-43.21,3995,0.8525,-0.0100,1
4.23,-21.63,3995,0.805,0.1550,1
20.52,-21.12,4000,0.8000,0.0200,2
-29.53,-43.33,4003,0.3600,-0.0500,2
5.46,-43.75,4012,1.1567,0.1475,1
-15.54,-17.07,4024,-999.9900,0.2200,2
-3.48,-7.60,4033,0.802,-0.3433,1
5.91,-44.20,4056,0.56,0.1787,1
-35.21,-26.77,4057,-999.9900,-0.4500,2
-24.47,7.54,4089,0.2925,0.2500,1
4.31,-20.21,4095,0.71,0.1250,1
5.27,-22.87,4160,0.7000,-0.1000,2
36.51,-23.74,4170,-999.9900,0.0433,1
-43.18,-3.25,4171,0.1200,-0.8300,2
-25.50,11.30,4194,0.34,-0.3863,1
14.42,-20.54,4202,0.6862,-0.1425,1
30.10,-73.84,4211,0.4000,-0.5000,2
29.08,-72.90,4250,-999.9900,-0.5000,2
-3.68,-32.01,4257,-999.9900,0.0500,2
-32.27,-21.97,4331,0.5500,0.0800,2
9.01,-21.50,4336,0.7100,-0.2500,2
4.79,-43.04,4341,0.6433,0.1000,1
-48.00,18.00,4350,-999.9900,-0.2800,2
5.98,-43.74,4369,0.17,0.0100,1
33.67,-57.62,4450,0.3000,-0.3000,2
-21.59,5.03,4456,0.7167,-0.2700,1
6.13,-43.44,4503,0.6400,0.0100,2
3.02,-22.03,4504,0.74,0.4820,1
-29.51,-8.31,4546,0.5500,0.1700,2
4.95,-42.89,4556,0.3692,-0.0050,1
21.30,-22.68,4579,0.5900,0.0700,2
1.66,-10.98,4588,0.922,-0.5300,1
38.24,-10.39,4602,0.69,-0.7367,1
-40.94,9.89,4621,0.2667,-0.9863,1
-43.22,11.75,4661,0.1667,-0.7800,1
-0.97,-9.44,4662,0.9000,0.2500,2
-3.56,-16.43,4675,0.12,-0.5750,1
28.03,-74.41,4712,1.2000,-0.3000,2
-41.60,9.80,4718,0.2200,-0.9100,2
3.09,-20.02,4745,0.84,0.1000,1
7.28,-26.19,4835,0.5800,0.0300,2
24.62,-22.76,4900,1.0200,0.0100,2
-41.13,7.82,4981,0.2700,-0.8300,2
2.47,-19.73,4998,0.885,-0.0667,1
