"ECS" "pdf.landocean" "pdf.land" "pdf.ocean" "pdf.dust0x" "pdf.dust2x" "pdf.wind1x" "pdf.wind2x" "pdf.sl0x" "pdf.sl2x"
0.3 4.73795313850985e-17 7.4529925479514e-05 2.7491896878055e-17 0 4.04579051232488e-17 0 6.9952284748402e-17 6.72206913230918e-17 3.93204802445871e-18
0.31 2.21178127771266e-17 9.08046378972429e-05 2.83349634726232e-17 0 5.207430354916e-17 0 0 1.19722689266884e-17 5.90402141654189e-19
0.32 6.99155809086988e-17 0.000108888953536061 1.93465932149578e-17 1.63162664563244e-16 6.96693893787263e-18 0 0 2.08166817117217e-17 5.71906958569904e-17
0.33 5.68120913387986e-17 0.000128419504669212 3.65962578894949e-17 8.65202840671937e-17 0 0 0 4.59996553175207e-17 3.38401711980974e-18
0.34 5.56680152850205e-17 0.000149316622485110 2.01267309472067e-18 8.15475469472134e-18 5.93413490074938e-17 0 0 0 3.66420802177392e-17
0.35 6.05565107674254e-17 0.000171415543765513 0 5.20661438861771e-17 2.47589011038711e-17 0 0 5.12427678564489e-17 9.25165411669768e-17
0.36 2.40112530700361e-17 0.000194665862128924 0 2.84263940096771e-18 3.74075761814543e-17 1.75889600271558e-17 5.53889783360308e-17 1.95785444257023e-18 7.82135669611158e-17
0.37 8.7727599610099e-17 0.00021924830246541 3.20362168290338e-17 1.33131741748588e-17 6.86947628058493e-17 0 7.19666600594635e-17 1.98040819673395e-17 7.12719007527323e-17
0.38 6.67055134760921e-17 0.000245281390833109 7.19872762607915e-17 9.91067024618786e-17 4.38806497726188e-17 0 1.19203537675459e-16 5.52711635000184e-17 6.04855180228727e-17
0.39 5.34821371375143e-17 0.000273438833062666 3.80621065227864e-17 7.04361275032062e-18 5.99900633975588e-17 2.21704246413931e-17 1.50972090037818e-16 0 9.27937336946792e-17
0.4 3.37418990303675e-17 0.000303828227689871 6.28708135688615e-17 6.93889390390723e-17 3.02312178852852e-17 1.94566865010885e-16 2.28409470608406e-16 9.68302377724582e-17 8.67715035269563e-17
0.41 5.33428465775249e-17 0.000337553096271829 3.69148826827762e-17 4.95197712098540e-17 2.08166817117217e-17 1.39884968165208e-16 1.84063852217475e-16 1.03293676267236e-17 1.01950855178340e-16
0.42 2.58894331777798e-17 0.000374417087236671 3.07517923406560e-18 2.62337113588036e-17 1.41687858564953e-17 7.39336183628615e-17 2.28852445413177e-16 4.50583008938297e-19 1.25327361614719e-16
0.43 1.07150081139934e-16 0.000415171144086859 5.57446518887455e-17 5.53197011064839e-17 0 9.32658112646536e-19 1.89565379779365e-16 4.16333634234434e-17 7.64712139298444e-17
0.44 6.15682516321568e-18 0.000459297907776469 3.48643583049385e-17 7.5572766332641e-17 8.80121901210172e-18 1.07804593020257e-16 3.22117517702601e-16 6.90570740177854e-19 7.68116807258214e-17
0.45 6.28837611067078e-17 0.000506491194651225 4.16773801550995e-17 0 1.64317327377207e-17 1.01450842992868e-16 1.52347595378294e-16 4.25190251973972e-17 8.16869394384158e-17
0.46 3.79779972784291e-17 0.000555740110388872 3.09594334621778e-17 0 4.36928844195083e-18 2.64004829732523e-17 2.37332556005434e-16 8.05648448275624e-17 1.82785466881951e-17
0.47 2.27372962987203e-17 0.000605680892864229 1.20707756570322e-17 0 1.38777878078145e-17 1.26305087032373e-17 1.88189874438888e-16 6.30097198315417e-18 8.44518003346082e-17
0.48 2.09251991630293e-17 0.000654716233012727 6.36178224726904e-18 1.43558656693246e-17 0 4.91292784430218e-17 1.75282879080231e-16 4.04507090702503e-18 1.01804999822185e-17
0.49 3.30525876955267e-17 0.000701336448160331 2.45206561907708e-17 5.74360344242444e-17 0 5.08902019011614e-17 1.18496962673505e-16 3.35823452215804e-17 7.22705346584505e-18
